企业名称	项目名称	中标日期	中标价（万元）	合同价（万元）	竣工验收日期	地上层数	地下层数	工程造价	建筑面积	工程资质	工程等级
广州市第二建筑工程有限公司	增城市荔城街政道路综合改造工程(标段三)施工总承包	2008-03-11	4763.6363	6124.1	2009-02-28			3100		市政公用工程施工总承包	03
深圳市深装总装饰工程工业有限公司	荔湾区沙面小学柏悦湾校区校园室内、建筑外墙、景观优化改造工程施工专业承包	2011-08-24	380.860535	380.860535	2012-09-21			36.10181		建筑装修装饰工程	03
深圳市深装总装饰工程工业有限公司	荔湾区沙面小学柏悦湾校区校园室内、建筑外墙、景观优化改造工程施工专业承包	2011-08-24	380.860535	380.860535	2012-09-21			36.10181		机电设备安装工程	04
深圳市深装总装饰工程工业有限公司	广东省公安厅2011-39广安大厦装修改造工程	2012-04-20	1645.489348	1645.489348	2013-02-04			1083.270637		机电设备安装工程	04
深圳市深装总装饰工程工业有限公司	广东省公安厅2011-39广安大厦装修改造工程	2012-04-20	1645.489348	1645.489348	2013-02-04			1083.270637		建筑装修装饰工程	03
深圳市深装总装饰工程工业有限公司	花园酒店周边环境整治工程施工专业承包	2009-10-19	8212.0102	8212.0102	2010-12-08			7994.195		建筑装修装饰工程	02
深圳市深装总装饰工程工业有限公司	花园酒店周边环境整治工程施工专业承包	2009-10-19	8212.0102	8212.0102	2010-12-08			7994.195		机电设备安装工程	04
广州市建筑机械施工有限公司	市广基、东威、聚贤房产公司商业住宅楼(自编新-1、2、3)工程施工	2002-08-26	12183.68	12183.681	2005-09-23	32	1		94426	房屋建筑工程施工总承包	02
广东省第四建筑工程公司	广州市中山八路党恩新街新社区工程	2007-04-24	5297.92	13450.02	2010-08-31	18	1	13450	49393	房屋建筑工程施工总承包	03
广州市第二建筑工程有限公司	机场高速公路（白云段）两侧整治工程施工总承包（五标）	2010-01-26	5432.90628	5432.90628	2011-03-21			5432.9		建筑装修装饰工程	02
深圳市深装总装饰工程工业有限公司	环市路（含南岸路、黄沙大道、广佛放射线）两侧整治（荔湾段）增补工程【标段3】	2010-07-06	4600.0136	4600.0136	2012-03-22			4600.014		建筑装修装饰工程	02
广州市市政集团有限公司	广州南沙滨水大道东路沥青砼路面工程		1498.7158	1498.7158	2011-12-30			1498.7158		市政公用工程施工总承包	04
广州市第三建筑工程有限公司	龙溪大道景观绿化升级改造工程施工专业承包	2010-08-20	2114.5551	2016.8456	2011-08-12			342.997		园林古建筑工程	04
广州市第三建筑工程有限公司	第16届亚运会（亚残运会）临时配套设施服务[标段2]	2010-07-14	12889.461458	12889.461458	2010-12-30			12889.461458		市政公用工程施工总承包	04
广东建雅室内工程设计施工有限公司	信华花园第4栋完善及装修工程施工专业承包	2012-08-31	1558.008551	1558.008551	2013-06-25			1558.008551		建筑装修装饰工程	02
广州市市政集团有限公司	滨江东路延长线（二期）（广州大桥-黄埔涌桥西）—新理想华庭至新电视塔段道路绿化工程施工专业承包	2010-08-11	275.8164	275.8164	2011-05-20			275.816		城市园林绿化工程	04
广州市住宅建设发展有限公司	赤岗桥西项目土建施工与总承包	2006-10-24	6955.2135	6955.2135	2009-04-20	32	2		56626	房屋建筑工程施工总承包	02
广州市住宅建设发展有限公司	广东省机械技工学校综合教学楼、学生宿舍楼工程	2004-09-30	729.11	729.11	2005-11-30	6		729.11	8024	房屋建筑工程施工总承包	04
广州市住宅建设发展有限公司	广州市天河区猎德经济发展公司广州高德中心施工	2005-05-31	27652.7374	27652.737449	2011-06-13	15	3	27652.7374	123079	房屋建筑工程施工总承包	02
广东省第四建筑工程公司	原芳村高尔夫球场A、B地块（中国铁建荔湾国际城A、B地块）项目施工总承包（A标）	2011-06-22	21738.88255	21738.88255	2013-11-28	33	2	21738.88	117451	房屋建筑工程施工总承包	02
广州市房屋开发建设有限公司	广州市番禺区国家税务局征管资料档案库工程施工	2004-07-28	1506.68	1506.68	2005-12-29	8		1506.68	6134.56	房屋建筑工程施工总承包	04
广州市房屋开发建设有限公司	广东社会科学中心项目施工	2009-06-15	13505.2125	13505.2125				4172.809		地基与基础工程	03
广州市房屋开发建设有限公司	广东社会科学中心项目施工	2009-06-15	13505.2125	13505.2125				4172.809		机电设备安装工程	02
广州市房屋开发建设有限公司	广东社会科学中心项目施工	2009-06-15	13505.2125	13505.2125				4172.809		建筑装修装饰工程	02
广州市房屋开发建设有限公司	花都海关执勤武警部队营房	2012-08-10	2399.476979	2399.476979	2013-09-28	5		2399.48	8419	房屋建筑工程施工总承包	04
广东建雅室内工程设计施工有限公司	广州市番禺区国家税务局第一税务分局综合业务办公用房修缮改造工程专业承包	2011-03-14	561.38	561.38				246.137		建筑装修装饰工程	03
广东建雅室内工程设计施工有限公司	广州市番禺区国家税务局第一税务分局综合业务办公用房修缮改造工程专业承包	2011-03-14	561.38	561.38				246.137		机电设备安装工程	04
广东建雅室内工程设计施工有限公司	广东省质量技术监督局新建办公楼室内装修工程专业承包工程	2012-02-24	3695.2	3695.2	2013-05-22			3695.2		建筑装修装饰工程	02
广州市第二建筑工程有限公司	增城市污水处理厂截污干管工程（何屋污水提升泵站至夏街接水口区间段）施工总承包	2009-04-30	3000	2292.7625	2010-07-16			2292.763		市政公用工程施工总承包	03
深圳市深装总装饰工程工业有限公司	广州医学院羊城医院口腔医院改造三期工程施工专业承包	2010-09-29	1737.2996	1737.2996	2011-11-28			304.037		建筑智能化工程	04
深圳市深装总装饰工程工业有限公司	广州医学院羊城医院口腔医院改造三期工程施工专业承包	2010-09-29	1737.2996	1737.2996	2011-11-28			304.037		消防设施工程	04
深圳市深装总装饰工程工业有限公司	广州医学院羊城医院口腔医院改造三期工程施工专业承包	2010-09-29	1737.2996	1737.2996	2011-11-28			304.037		建筑装修装饰工程	02
深圳市深装总装饰工程工业有限公司	广州医学院羊城医院口腔医院改造三期工程施工专业承包	2010-09-29	1737.2996	1737.2996	2011-11-28			304.037		机电设备安装工程	04
广州机施建设集团有限公司	科学城体育公园(网球中心)*	2007-04-06	10910.5262	10910.5262	2009-09-08					房屋建筑工程施工总承包	02
广东省第四建筑工程公司	广汽日野汽车有限公司建设项目首期工程（标段六）施工总承包	2010-07-08	2623.345555	2623.345555	2012-12-17			2623.34	9729.6	房屋建筑工程施工总承包	04
广东建雅室内工程设计施工有限公司	中山大学科技文化交流中心项目装修工程施工专业承包	2014-02-17	13876.318838	13876.318838				809.507596		机电设备安装工程	03
广东建雅室内工程设计施工有限公司	中山大学科技文化交流中心项目装修工程施工专业承包	2014-02-17	13876.318838	13876.318838				809.507596		建筑装修装饰工程	02
广东建雅室内工程设计施工有限公司	中山大学科技文化交流中心项目装修工程施工专业承包	2014-02-17	13876.318838	13876.318838				809.507596		消防设施工程	04
深圳市深装总装饰工程工业有限公司	广州市花都区花山医院改造工程	2012-07-12	380.568172	380.568172	2013-06-21			380.568172		建筑装修装饰工程	03
广州市市政集团有限公司	广州市中心区交通项目领导小组交通管理与安全子项(三期)土建工程二标	2004-08-24	4238.4711	4238.4711	2005-10-20			4238.471		市政公用工程施工总承包	04
广州市第三建筑工程有限公司	天骏花园M1-E(A)商住楼	2001-08-03	7334.6632	6019.55	2008-12-31	31	2		55657	房屋建筑工程施工总承包	02
广州市第三建筑工程有限公司	东风日产产能扩建项目朱村新邨工程F标段	2010-06-08	4644.270188	4644.270188	2012-09-28	17		4644.270188	28711.68	房屋建筑工程施工总承包	04
广州协安建设工程有限公司	广州萝岗特勤消防站综合办公楼工程									建筑装修装饰工程	05
广州机施建设集团有限公司	萝岗区网羽中心配套设施建设工程—深基坑开挖及支护工程	2010-03-04	2525.6018		2010-12-31			2525.602		地基与基础工程	02
广州机施建设集团有限公司	出入境制证中心大楼工程施工	2005-10-13	8001.0855	8001.0855	2009-03-25	16		8001.086		房屋建筑工程施工总承包	03
广州机施建设集团有限公司	广州港新沙港区扩建散粮平仓工程（二期）	2011-11-22	5907.573688	5907.573688	2012-10-31	1		5907.573688	23762.58	房屋建筑工程施工总承包	04
广州市市政集团有限公司	增城市荔湖大道改造工程施工总承包	2011-10-14	4444.200618	4444.200618	2012-01-30			941.28		市政公用工程施工总承包	04
广州市住宅建设发展有限公司	增城市新塘镇新沙公路市政工程（第二标段）	2007-07-12	753.0887	753.0887	2008-09-11			753.089		市政公用工程施工总承包	04
广东省第四建筑工程公司	机场高速公路（白云段）两侧整治工程施工总承包（二标）	2010-01-22	3788.198025	3788.198025	2011-05-13			3788.198025		市政公用工程施工总承包	04
广州市第三建筑工程有限公司	广州市从化温泉开发建设项目度假区3#道路工程	2006-10-20	3507.9204	3507.9204	2009-10-23			3507.92		市政公用工程施工总承包	03
广州市第三建筑工程有限公司	广州吉必盛科技实业有限公司厂房A、厂房B、实验楼工程									建筑装修装饰工程	04
广东建雅室内工程设计施工有限公司	裕华大厦装修改造工程施工专业承包	2009-03-20	1400.1384	1400.1384	2010-11-09			1055.641		机电设备安装工程	04
广东建雅室内工程设计施工有限公司	裕华大厦装修改造工程施工专业承包	2009-03-20	1400.1384	1400.1384	2010-11-09			1055.641		建筑装修装饰工程	03
广州市市政集团有限公司	广州新客站地区市政道路及相关附属施工总承包（标段一）	2009-02-12	84759.538911	84759.538911	2012-01-13			745.141419		市政公用工程施工总承包	02
广州市第三建筑工程有限公司	鹤洞路道路升级改造工程施工总承包	2010-05-27	1425.492479	1425.492479	2011-10-20			1425.492479		市政公用工程施工总承包	04
广州市第三建筑工程有限公司	天河软件园高唐新建区配套工程—IT商务中心工程	2006-08-31	8149.413551	8149.413551	2010-11-11	12		8149	55815	房屋建筑工程施工总承包	04
广东建雅室内工程设计施工有限公司	广东广播中心续建项目北区办公室装修工程施工专业承包	2009-11-19	563.2278					161.305	3300	建筑智能化工程	04
广东建雅室内工程设计施工有限公司	广东广播中心续建项目北区办公室装修工程施工专业承包	2009-11-19	563.2278					161.305	3300	机电设备安装工程	04
广东建雅室内工程设计施工有限公司	广东广播中心续建项目北区办公室装修工程施工专业承包	2009-11-19	563.2278					161.305	3300	建筑装修装饰工程	03
广东建雅室内工程设计施工有限公司	广东广播中心续建项目北区办公室装修工程施工专业承包	2009-11-19	563.2278					161.305	3300	消防设施工程	04
广东建雅室内工程设计施工有限公司	多功能大阶梯课室（A室）改造工程施工	2008-08-27	99.1003					34.477		机电设备安装工程	04
广东建雅室内工程设计施工有限公司	多功能大阶梯课室（A室）改造工程施工	2008-08-27	99.1003					34.477		建筑装修装饰工程	03
广州市房屋开发建设有限公司	萝岗区110社会联动指挥中心装修工程	2008-11-10	1983.3449	1983.3449				226.796		建筑装修装饰工程	02
广州市房屋开发建设有限公司	萝岗区110社会联动指挥中心装修工程	2008-11-10	1983.3449	1983.3449				226.796		机电设备安装工程	04
广东建雅室内工程设计施工有限公司	珠江工业园入口展示厅布展装修工程	2011-05-05	407.5204	407.5204	2011-07-15			173.41		建筑装修装饰工程	03
广东建雅室内工程设计施工有限公司	珠江工业园入口展示厅布展装修工程	2011-05-05	407.5204	407.5204	2011-07-15			173.41		机电设备安装工程	04
广东建雅室内工程设计施工有限公司	南航碧花园机务培训中心改造工程施工专业承包	2013-01-14	3064.026393	3064.026393	2013-10-23			256.365241		建筑装修装饰工程	02
广东建雅室内工程设计施工有限公司	南航碧花园机务培训中心改造工程施工专业承包	2013-01-14	3064.026393	3064.026393	2013-10-23			256.365241		机电设备安装工程	03
广东建雅室内工程设计施工有限公司	南航碧花园机务培训中心改造工程施工专业承包	2013-01-14	3064.026393	3064.026393	2013-10-23			256.365241		消防设施工程	04
深圳市深装总装饰工程工业有限公司	广州医科大学附属第二医院西院区装修改造工程施工专业承包	2013-11-26	1200.149888	1200.149888				1200.149888		建筑装修装饰工程	02
广州市建筑机械施工有限公司	市政园林局科韵路南延长线土建施工第一合同段	2003-10-31	5854.3986	13095.8453	2006-09-29			13105		市政公用工程施工总承包	02
广州市第三建筑工程有限公司	岭南新苑公建配套工程施工总承包及总承包管理配合服务（第一标段）	2009-12-15	4053.870091	4053.870091	2012-01-13	5			17373	房屋建筑工程施工总承包	04
广州市房屋开发建设有限公司	黄埔出入境检验检疫局综合实验楼工程	2005-11-02	3899.63	3899.63	2007-11-30	11	1	3899.63	13442	房屋建筑工程施工总承包	04
广东建雅室内工程设计施工有限公司	广州市珠江新城核心区市政交通项目装修调整工程施工专业承包	2011-03-07	7399.99	7399.99				4955.436		建筑装修装饰工程	02
广州市第二建筑工程有限公司	保利房产公司保利国际广场工程施工	2004-06-15	33600.428	33600.4281	2007-02-14	34	2	15369.192	206041	房屋建筑工程施工总承包	02
广州市第二建筑工程有限公司	天河区沙河镇冼村商业、办公、住宅楼＋0.00以上工程	2004-09-24	16196.4151	16196.4151	2007-04-11	30	2	16196.415	119647	房屋建筑工程施工总承包	02
广州市第二建筑工程有限公司	南洲路公交枢纽站建设工程施工总承包	2009-12-07	13470.557681	13470.557681	2011-11-15	3	1	13470.557681	24418	房屋建筑工程施工总承包	04
广州市第二建筑工程有限公司	广州物流中心工程施工	2007-06-05	5028.4195	5028.4195	2009-04-29	2	1	5028.419	19687	房屋建筑工程施工总承包	04
广州市第二建筑工程有限公司	全球环境基金赠款区域合作项目广州市南岗污水处理系统工程施工总承包标段2	2009-05-11	9753.516834	9753.516834	2013-09-30			9753.516834		市政公用工程施工总承包	04
广州机施建设集团有限公司	广州文冲船厂有限责任公司1#、2#船坞技术改造及配套工程（二标段）施工项目	2008-06-02	5431.7102	5431.7102	2009-05-13			3160		钢结构工程	03
深圳市深装总装饰工程工业有限公司	和平路环境综合整治立面整饰工程施工专业承包	2010-02-11	1321.3899	1321.3899	2011-04-14			1321.39		建筑装修装饰工程	02
广州市第三建筑工程有限公司	东南西环全线道路、匝道及广场升级改造工程	2010-08-04	976.763	976.763	2011-03-25			976.763		市政公用工程施工总承包	03
广东建雅室内工程设计施工有限公司	广东南湖旅游中心湖畔楼装修工程施工（二次招标）	2008-07-23	3453.5217	3453.5217	2009-09-25			2712.251		机电设备安装工程	04
广东建雅室内工程设计施工有限公司	广东南湖旅游中心湖畔楼装修工程施工（二次招标）	2008-07-23	3453.5217	3453.5217	2009-09-25			2712.251		建筑智能化工程	04
广东建雅室内工程设计施工有限公司	广东南湖旅游中心湖畔楼装修工程施工（二次招标）	2008-07-23	3453.5217	3453.5217	2009-09-25			2712.251		建筑装修装饰工程	02
广州市第二建筑工程有限公司	广州大学城中山大学工程学科及药学院实验楼、第二教师/学生食堂工程施工总承包	2006-01-18	11701.7065	11701.7065	2007-12-25	6	1	11701.706	62340	房屋建筑工程施工总承包	03
广州机施建设集团有限公司	广州白云国际机场扩建工程二号航站楼及配套设施桩基础工程(1标段)	2014-02-25	11585.5226	11585.5226				11585.5226		地基与基础工程	02
广州市市政集团有限公司	广州生产基地易地技改项目第四标段（实验工房、香糖料调配中心、香料库工程）建筑工程施工总承包	2010-03-17	5382.821591	5382.821591	2012-11-20				18779	房屋建筑工程施工总承包	03
广东建雅室内工程设计施工有限公司	广东外语外贸大学北校区及大学城校区食堂厨房改造工程施工专业承包	2011-12-21	199.748939	199.748939				74.84		建筑装修装饰工程	03
广东建雅室内工程设计施工有限公司	广东外语外贸大学北校区及大学城校区食堂厨房改造工程施工专业承包	2011-12-21	199.748939	199.748939				74.84		机电设备安装工程	04
广州市住宅建设发展有限公司	广州市恒隆房地产投资有限公司“天一庄”B3栋商住楼工程	2003-05-09	5288.25	5288.25	2006-11-19	20	4	5288.25	53309	房屋建筑工程施工总承包	03
广州市第三建筑工程有限公司	广州中轻新洲房地产开发有限公司中洲中心工程	2003-01-17	12598.22	12598.22	2005-11-09	30	2		137504	房屋建筑工程施工总承包	02
广州市第三建筑工程有限公司	中华人民共和国审计署驻广州特派员办事处办公楼	2006-05-17	2852.17	2852.17	2010-03-06	19	2		18238	房屋建筑工程施工总承包	03
广州市第三建筑工程有限公司	广州港湾广场二期配套设施楼工程	2008-10-17	9069.374702	9069.374702	2011-06-30			9063.37	25011	房屋建筑工程施工总承包	04
广州市第三建筑工程有限公司	广州歌舞剧院训演中心维修改建项目施工总承包	2011-03-07	892.499306	892.499306	2013-10-25			892.499306		房屋建筑工程施工总承包	04
深圳市深装总装饰工程工业有限公司	黄埔区人防楼二楼改造工程施工专业承包	2012-03-16	178.066854	178.066854	2012-11-05			80.863004		建筑装修装饰工程	03
深圳市深装总装饰工程工业有限公司	黄埔区人防楼二楼改造工程施工专业承包	2012-03-16	178.066854	178.066854	2012-11-05			80.863004		机电设备安装工程	04
广州机施建设集团有限公司	萝岗区行政办公用房及萝岗中心区人防工程一期施工总承包（一标段）	2007-05-14	6752.7338	6752.7338	2010-05-17	5	1	6752.7388	36000	房屋建筑工程施工总承包	04
深圳市深装总装饰工程工业有限公司	广州市花都区雅瑶医院标准化建设改造工程	2012-06-28	400.600848	400.600848	2013-01-25			76.393749		机电设备安装工程	04
深圳市深装总装饰工程工业有限公司	广州市花都区雅瑶医院标准化建设改造工程	2012-06-28	400.600848	400.600848	2013-01-25			76.393749		建筑装修装饰工程	03
广州机施建设集团有限公司	16层住宅楼工程6幢（自编号1-6栋及自编号B）及1层垃圾收集站工程1幢（大学城DN0401地块）、住宅楼工程4幢（自编号7-10栋及自编号B）（大学城DN0402地块）、16层住宅楼工程4幢（自编号11-14栋及自编号B）（大学城DN0501地块）项目住宅及公建配套施工总承包及总承包管理配合服务（标段一）	2011-06-01	56161.9388	56161.9388	2013-12-20	16	2	56161.9388	164351	房屋建筑工程施工总承包	02
广州市第二建筑工程有限公司	大沙头路等10条路道路改造工程施工总承包	2010-03-16	1328.6574	1328.6574	2010-09-08			1328.657		市政公用工程施工总承包	04
广州市建筑机械施工有限公司	猎德村整体改造工程（桥东区域）基坑支护及土方工程[标段3]	2008-01-08	3887.8389	3887.8389	2008-08-30			1725.434		地基与基础工程	02
广州市建筑机械施工有限公司	猎德村整体改造工程（桥东区域）基坑支护及土方工程[标段3]	2008-01-08	3887.8389	3887.8389	2008-08-30			1725.434		土石方工程	03
广州市市政集团有限公司	双塔路西段（赤岗北路~新光快速路）工程施工总承包	2009-10-27	2118.276619	4448.85	2012-09-20			4530.4106		市政公用工程施工总承包	03
广州市市政集团有限公司	广州白云新城基础设施工程项目-市政道路及排水工程施工【标段1】	2008-12-29	47800.137777	52497.032128	2011-11-08					市政公用工程施工总承包	02
广东建雅室内工程设计施工有限公司	猎德村旧村改造村民复建安置房工程装饰装修施工专业承包[标段2]	2009-11-16	7217.666	7217.666	2010-09-28			6455.08		建筑装修装饰工程	02
广东建雅室内工程设计施工有限公司	猎德村旧村改造村民复建安置房工程装饰装修施工专业承包[标段2]	2009-11-16	7217.666	7217.666	2010-09-28			6455.08		机电设备安装工程	04
广州协安建设工程有限公司	粤新楼建设项目主楼									机电设备安装工程	05
深圳市深装总装饰工程工业有限公司	广州市琶洲1401项目精装修专业分包工程第三标段（酒店L4层）			3589.915147	2013-12-10			441.713385		建筑装修装饰工程	02
深圳市深装总装饰工程工业有限公司	广州市琶洲1401项目精装修专业分包工程第三标段（酒店L4层）			3589.915147	2013-12-10			441.713385		机电设备安装工程	04
广州机施建设集团有限公司	福基苑工程施工总承包	2009-06-02	8221.259708	8221.259708	2013-06-30	24	2	8221.259708	43686	房屋建筑工程施工总承包	03
广州机施建设集团有限公司	广州钢铁博汇项目商务区一期基坑和桩基础设计施工一体化	2013-11-25	6859.974488	6687.032888				6112.993895		地基与基础工程	02
广州市第三建筑工程有限公司	中共广东省委老干部局办公楼改造修缮工程施工专业承包	2011-03-14	282.740476	282.740476	2012-02-10			131.648		建筑装修装饰工程	03
广州市第三建筑工程有限公司	中共广东省委老干部局办公楼改造修缮工程施工专业承包	2011-03-14	282.740476	282.740476	2012-02-10			131.648		机电设备安装工程	04
广东建雅室内工程设计施工有限公司	广东省人民医院集体宿舍室内装修改造工程施工专业承包	2010-12-22	1608.8339	1608.8339	2012-03-30			6.538	6233	机电设备安装工程	04
广东建雅室内工程设计施工有限公司	广东省人民医院集体宿舍室内装修改造工程施工专业承包	2010-12-22	1608.8339	1608.8339	2012-03-30			6.538	6233	消防设施工程	04
广东建雅室内工程设计施工有限公司	广东省人民医院集体宿舍室内装修改造工程施工专业承包	2010-12-22	1608.8339	1608.8339	2012-03-30			6.538	6233	建筑装修装饰工程	02
广东建雅室内工程设计施工有限公司	广东省人民医院集体宿舍室内装修改造工程施工专业承包	2010-12-22	1608.8339	1608.8339	2012-03-30			6.538	6233	建筑智能化工程	04
广州市第二建筑工程有限公司	国际羽毛球培训中心工程1幢（二沙岛十一区）施工总承包及总承包管理配合服务	2009-05-27	2640.3528	2640.3528	2010-11-11			2640.353	14215	房屋建筑工程施工总承包	04
广州市建筑机械施工有限公司	老人病呆服务大楼	2003-07-11	1236.19	1236.1928	2005-06-20	5			10942	房屋建筑工程施工总承包	04
广州市建筑机械施工有限公司	华南理工大学北区3A教工住宅工程	2004-12-29	1180.1118	1180.1118	2006-01-12	9		1180.112	9905	房屋建筑工程施工总承包	04
广州市市政集团有限公司	珠江新城E区中学工程施工总承包	2006-01-25	6793.85	6793.85	2008-09-22				37913	房屋建筑工程施工总承包	04
广州市第二建筑工程有限公司	培正大道DN600mm供水工程施工总承包	2010-05-31	764.4892	764.4892	2010-11-07			764.489		市政公用工程施工总承包	04
广州市建筑机械施工有限公司	黄埔东路夏园以西（BRT)段整治工程--建筑立面整治工程、泛光照明整治工程、广州市86中学节点整治工程；迎亚运市政道路两侧综合整治工程--黄埔东路夏园以东段两侧整治工程施工专业承包（标段一）	2010-03-22	26162.086	26162.086038	2011-08-05			2754.158		机电设备安装工程	02
广州市建筑机械施工有限公司	黄埔东路夏园以西（BRT)段整治工程--建筑立面整治工程、泛光照明整治工程、广州市86中学节点整治工程；迎亚运市政道路两侧综合整治工程--黄埔东路夏园以东段两侧整治工程施工专业承包（标段一）	2010-03-22	26162.086	26162.086038	2011-08-05			2754.158		建筑装修装饰工程	02
广州市住宅建设发展有限公司	大塘卫生院装修工程	2007-03-20	450	1138.7916	2008-09-12			570		建筑装修装饰工程	03
广州市房屋开发建设有限公司	毛纺厂项目施工总承包	2009-06-30	5776.095021	5776.095021	2013-01-19	20	1	5776.095021	25884	房屋建筑工程施工总承包	03
深圳市深装总装饰工程工业有限公司	广州市天河城西塔楼B段装修工程			6636.960471	2011-08-31			1264.929841		建筑装修装饰工程	02
深圳市深装总装饰工程工业有限公司	广州市天河城西塔楼B段装修工程			6636.960471	2011-08-31			1264.929841		机电设备安装工程	03
广州机施建设集团有限公司	江南三期七区地块住宅楼4幢（自编1、2、3、4栋）,江南三期4-5、6地块1幢5层（部分7层）社区服务中心、住宅楼，江南三期七区地块幼儿园及P-1综合楼施工总承包及总承包管理配合服务（标段二）	2009-06-30	9318.00083	9318.00083	2012-01-06	29	2	9318.00083	34196	房屋建筑工程施工总承包	02
广东省第四建筑工程公司	瑞宝涌片区雨污分流改造工程施工总承包	2010-01-08	1324.379053	1324.379053	2010-11-25			1324		市政公用工程施工总承包	04
广州机施建设集团有限公司	广州市第四十四中学校园改造工程施工	2005-11-18	1778.350618	1778.350618	2011-03-11			1778.350618	13887	房屋建筑工程施工总承包	04
广州机施建设集团有限公司	芳村花园二期工程施工总承包及总承包管理配合服务第六标段	2009-05-22	14655.256888	14655.256888	2012-02-22	28	1	14655.256888	58300	房屋建筑工程施工总承包	03
广州市第三建筑工程有限公司	越秀区迎亚运人居环境整治项目施工专业承包（第二批）东华东片区整治、华西片区整治	2009-12-08	1026					1026		建筑装修装饰工程	03
广州市第三建筑工程有限公司	机场路黄石立交以北排水改造工程施工总承包	2010-05-28	376.4296	376.4296	2011-05-19			376.43		市政公用工程施工总承包	04
广东建雅室内工程设计施工有限公司	南方医科大学第三附属医院旧门诊楼装修改造工程施工专业承包	2011-10-10	3621	3621	2012-07-15			2177.468		机电设备安装工程	03
广东建雅室内工程设计施工有限公司	南方医科大学第三附属医院旧门诊楼装修改造工程施工专业承包	2011-10-10	3621	3621	2012-07-15			2177.468		建筑装修装饰工程	02
广东建雅室内工程设计施工有限公司	南方医科大学第三附属医院旧门诊楼装修改造工程施工专业承包	2011-10-10	3621	3621	2012-07-15			2177.468		建筑幕墙工程	04
广东省第四建筑工程公司	小洲东路（华南路-大学桥便桥）改造工程	2007-11-23	1366.9297	1366.9297	2008-05-15			1366.93		市政公用工程施工总承包	04
